TEAMs,Arsenal ,AstonVilla,Bournemouth,Chelsea,CrystalPalace,Everton,Leicester,Liverpool,ManCity,ManUnited,Newcastle,Norwich ,Southampton,Stoke ,Sunderland,Swansea,Spurs,Watford,WestBrom,WestHam,
Arsenal ,0-0,4-0,2-0,0-1,1-1,2-0,2-1,3-3,2-2,3-2,1-0,1-0,0-0,0-0,0-0,1-2,2-2,4-0,2-0,3-3,
AstonVilla,0-4,0-0,1-2,0-4,1-0,1-3,1-1,1-1,0-4,0-1,0-0,2-0,2-4,1-2,1-3,0-1,0-2,2-3,0-0,0-2,
Bournemouth,2-0,1-2,0-0,1-4,2-1,1-2,0-0,1-3,0-4,1-3,3-1,3-0,2-0,1-3,1-1,3-2,0-3,0-0,1-1,1-3,
Chelsea,1-0,4-0,4-1,0-0,3-0,3-3,1-1,1-1,0-3,1-1,5-1,2-1,2-1,1-1,2-3,0-1,2-2,0-0,2-2,2-2,
CrystalPalace,1-1,0-1,1-2,0-3,0-0,0-0,0-1,1-2,0-4,0-2,0-1,0-1,1-4,2-1,2-2,1-1,1-3,1-2,2-3,2-2,
Everton,0-2,3-1,2-1,3-3,0-0,0-0,1-3,0-4,0-0,0-1,3-0,3-0,1-1,3-0,0-3,1-2,1-1,1-1,0-1,2-3,
Leicester,1-2,1-1,0-0,1-1,1-0,3-1,0-0,2-0,3-1,1-1,1-0,1-0,1-0,3-0,2-0,4-0,1-0,0-1,2-2,2-2,
Liverpool,3-3,1-1,3-1,1-1,2-1,4-0,0-2,0-0,3-0,0-1,2-2,5-4,2-3,4-1,2-2,1-3,1-1,2-0,1-1,0-2,
ManCity,2-2,4-0,4-0,3-0,4-0,0-0,1-3,0-3,0-0,0-1,1-1,0-0,2-4,4-0,1-0,1-1,1-2,2-1,2-1,2-2,
ManUnited,2-3,1-0,3-1,1-1,2-0,1-0,1-1,1-0,1-0,0-0,3-3,1-0,0-1,3-0,1-2,2-1,0-3,1-0,0-1,2-3,
Newcastle ,0-1,0-0,1-3,1-5,1-0,0-3,0-1,2-2,1-1,3-3,0-0,2-3,1-3,0-1,1-1,3-0,5-1,1-2,1-0,2-1,
Norwich City,0-1,0-2,0-3,1-2,1-0,0-3,0-1,4-5,0-0,0-1,3-2,0-0,1-0,1-3,0-3,0-1,0-3,4-2,1-0,2-2,
Southampton,0-0,4-2,0-2,1-2,4-1,1-1,0-1,3-2,4-2,1-0,3-1,0-1,0-0,2-1,1-1,1-0,2-1,2-0,3-0,1-0,
Stoke ,0-0,2-1,3-1,1-1,1-2,0-3,0-3,1-4,0-4,0-3,1-0,3-1,1-2,0-0,1-1,2-2,0-4,2-1,1-2,2-1,
Sunderland,0-0,3-1,1-1,3-2,2-2,3-0,0-2,2-2,0-1,2-1,1-1,3-0,1-1,1-1,0-0,4-2,1-4,2-2,0-0,0-1,
Swansea,2-1,1-0,2-3,1-0,1-1,2-1,0-4,3-1,1-1,1-2,0-3,1-0,0-1,2-2,2-4,0-0,1-2,1-0,1-1,4-1,
Spurs,2-2,2-0,3-0,2-2,3-1,1-1,0-1,1-1,2-1,3-0,1-5,3-0,1-2,4-0,4-1,2-1,0-0,1-0,1-1,0-1,
Watford,4-0,3-2,0-0,0-0,2-1,1-1,0-1,0-2,1-2,0-1,2-1,2-4,0-2,1-2,2-2,0-1,0-1,0-0,1-0,1-3,
WesBrom,2-0,0-0,1-1,2-2,3-2,1-0,2-2,1-1,1-2,1-0,0-1,0-1,0-3,2-1,0-0,1-1,1-1,0-1,0-0,0-3,
WestHam,3-3,2-0,3-1,2-2,2-2,3-2,2-2,2-0,2-2,3-2,1-2,2-2,1-0,2-1,1-0,0-0,1-0,3-1,0-3,0-0,