TEAMS,vs. BAL,vs. BOS,vs. CHW,vs. CLE,vs. DET,vs. HOU,vs. KC,vs. LAA,vs. MIN,vs. NYY,vs. OAK,vs. SEA,vs. TB,vs. TEX,vs. TOR
BAL,--,3-16,3-4,2-5,2-4,1-6,2-4,1-5,1-6,7-12,1-5,1-6,8-11,3-4,5-14
BOS,16-3,--,3-4,3-4,4-2,3-4,5-1,6-0,4-3,10-9,2-4,4-3,11-8,6-1,15-4
CHW,4-3,4-3,--,5-14,7-12,0-7,11-8,2-5,7-12,2-4,2-5,2-4,4-2,4-3,2-4
CLE,5-2,4-3,14-5,--,13-6,3-4,12-7,3-3,10-9,2-5,2-4,2-5,2-4,4-2,3-4
DET,4-2,2-4,12-7,6-13,--,1-5,8-11,3-4,7-12,3-4,0-7,3-4,2-4,3-4,4-3
HOU,6-1,4-3,7-0,4-3,5-1,--,5-1,13-6,4-2,2-5,12-7,9-10,3-4,12-7,4-2
KC,4-2,1-5,8-11,7-12,11-8,1-5,--,1-6,10-9,2-5,2-5,1-5,0-7,2-5,2-5
LAA,5-1,0-6,5-2,3-3,4-3,6-13,6-1,--,4-3,1-5,10-9,8-11,1-6,13-6,4-3
MIN,6-1,3-4,12-7,9-10,12-7,2-4,9-10,3-4,--,2-5,2-5,1-5,3-4,2-4,4-2
NYY,12-7,9-10,4-2,5-2,4-3,5-2,5-2,5-1,5-2,--,3-3,5-1,10-9,4-3,13-6
OAK,5-1,4-2,5-2,4-2,7-0,7-12,5-2,9-10,5-2,3-3,--,9-10,2-5,13-6,7-0
SEA,6-1,3-4,4-2,5-2,4-3,10-9,5-1,11-8,5-1,1-5,10-9,--,6-1,10-9,3-4
TB,11-8,8-11,2-4,4-2,4-2,4-3,7-0,6-1,4-3,9-10,5-2,1-6,--,5-1,13-6
TEX,4-3,1-6,3-4,2-4,4-3,7-12,5-2,6-13,4-2,3-4,6-13,9-10,1-5,--,3-3
TOR,14-5,4-15,4-2,4-3,3-4,2-4,5-2,3-4,2-4,6-13,0-7,4-3,6-13,3-3,--